Date,AAPL,GOOGL,MSFT
2023-01-03,123.90463256835938,89.01783752441406,236.1835174560547
2023-01-04,125.1826171875,87.9790267944336,225.85208129882812
2023-01-05,123.85509490966797,86.10118103027344,219.1583709716797
2023-01-06,128.4122314453125,87.2398681640625,221.74119567871094
2023-01-09,128.93728637695312,87.9190902709961,223.90016174316406
2023-01-10,129.5118865966797,88.31863403320312,225.6056365966797
2023-01-11,132.24618530273438,91.41507720947266,232.42755126953125
2023-01-12,132.1669158935547,91.02552795410156,235.12869262695312
2023-01-13,133.5043487548828,92.01439666748047,235.83847045898438
2023-01-17,134.67333984375,91.18534851074219,236.94259643554688
2023-01-18,133.9501495361328,91.01554870605469,232.4669647216797
2023-01-19,134.0095977783203,92.9433364868164,228.64195251464844
2023-01-20,136.58535766601562,97.90763092041016,236.814453125
2023-01-23,139.79519653320312,99.67560577392578,239.14097595214844
2023-01-24,141.2019500732422,97.58799743652344,238.60862731933594
2023-01-25,140.53817749023438,95.11083984375,237.19891357421875
2023-01-26,142.61862182617188,97.408203125,244.48414611816406
2023-01-27,144.57025146484375,99.25608825683594,244.64187622070312
2023-01-30,141.66757202148438,96.82887268066406,239.26913452148438
2023-01-31,142.945556640625,98.72669219970703,244.2968292236328
2023-02-01,144.0749053955078,100.31487274169922,249.16680908203125
2023-02-02,149.41468811035156,107.61648559570312,260.8488464355469
2023-02-03,153.06040954589844,104.65988159179688,254.68746948242188
2023-02-06,150.3162384033203,102.78203582763672,253.1298065185547
2023-02-07,153.20901489257812,107.5166015625,263.766845703125
2023-02-08,150.5044403076172,99.25608825683594,262.9486389160156
2023-02-09,149.4642333984375,94.90108489990234,259.8827209472656
2023-02-10,149.8313446044922,94.46158599853516,259.3700256347656
2023-02-13,152.64918518066406,94.50154113769531,267.4735412597656
2023-02-14,152.0042266845703,94.57146453857422,268.3115234375
2023-02-15,154.1176300048828,96.82887268066406,266.1668701171875
2023-02-16,152.51028442382812,95.4005126953125,259.080810546875
2023-02-17,151.3593292236328,94.24183654785156,255.03872680664062
2023-02-21,147.32110595703125,91.68477630615234,249.7118377685547
2023-02-22,147.74774169921875,91.54493713378906,248.56541442871094
2023-02-23,148.23391723632812,90.78580474853516,251.78724670410156
2023-02-24,145.56491088867188,89.02782440185547,246.30221557617188
2023-02-27,146.7654571533203,89.76697540283203,247.231201171875
2023-02-28,146.2594451904297,89.95675659179688,246.4998779296875
2023-03-01,144.17581176757812,90.25641632080078,243.3867645263672
2023-03-02,144.77114868164062,91.89453125,248.1701202392578
2023-03-03,149.8511962890625,93.54264068603516,252.3011474609375
2023-03-06,152.6293487548828,95.02094268798828,253.8626708984375
2023-03-07,150.416748046875,93.75240325927734,251.1745147705078
2023-03-08,151.6768341064453,94.14195251464844,250.72976684570312
2023-03-09,149.41461181640625,92.21416473388672,249.36595153808594
2023-03-10,147.34092712402344,90.5261001586914,245.67959594726562
2023-03-13,149.29554748535156,91.00555419921875,250.94720458984375
2023-03-14,151.39901733398438,93.86227416992188,257.7367858886719
2023-03-15,151.79588317871094,95.99982452392578,262.3323669433594
2023-03-16,154.6335906982422,100.20499420166016,272.96636962890625
2023-03-17,153.79019165039062,101.50350952148438,276.1585693359375
2023-03-20,156.17147827148438,101.10396575927734,269.0428161621094
2023-03-21,158.03680419921875,104.79972076416016,270.5746765136719
2023-03-22,156.59811401367188,103.25150299072266,269.1021423339844
2023-03-23,157.6895294189453,105.47894287109375,274.4093017578125
2023-03-24,158.99923706054688,105.31912994384766,277.2851867675781
2023-03-27,157.0446014404297,102.34254455566406,273.1442565917969
2023-03-28,156.4195098876953,100.91417694091797,272.0077209472656
2023-03-29,159.51516723632812,101.27376556396484,277.2259216308594
2023-03-30,161.09274291992188,100.77433776855469,280.7244567871094
2023-03-31,163.61293029785156,103.61109161376953,284.9247131347656
2023-04-03,164.8730010986328,104.24036407470703,283.8672790527344
2023-04-04,164.3372344970703,104.5999526977539,283.81781005859375
2023-04-05,162.48182678222656,104.3502426147461,281.01104736328125
2023-04-06,163.3748016357422,108.29570770263672,288.18609619140625
2023-04-10,160.7653350830078,106.31798553466797,286.0019226074219
2023-04-11,159.54493713378906,105.2292251586914,279.5187683105469
2023-04-12,158.8503875732422,104.5200424194336,280.1710510253906
2023-04-13,164.26776123046875,107.30684661865234,286.4466247558594
2023-04-14,163.9205322265625,108.74519348144531,282.7900085449219
2023-04-17,163.9403533935547,105.84851837158203,285.4187927246094
2023-04-18,165.17066955566406,104.38020324707031,284.9938659667969
2023-04-19,166.32162475585938,104.0605697631836,285.0729675292969
2023-04-20,165.34925842285156,105.16929626464844,282.7603454589844
2023-04-21,163.7320098876953,105.2891616821289,282.4144592285156
2023-04-24,164.03958129882812,105.84851837158203,278.4711608886719
2023-04-25,162.4917755126953,103.73094940185547,272.19549560546875
2023-04-26,162.48182678222656,103.59111022949219,291.91192626953125
2023-04-27,167.0955352783203,107.46665954589844,301.26116943359375
2023-04-28,168.35560607910156,107.2169418334961,303.6627197265625
2023-05-01,168.26632690429688,107.07710266113281,301.9826354980469
2023-05-02,167.22451782226562,105.19926452636719,301.8343811035156
2023-05-03,166.1430206298828,105.2891616821289,300.836181640625
2023-05-04,164.49598693847656,104.56999206542969,301.8343811035156
2023-05-05,172.21527099609375,105.448974609375,307.0130310058594
2023-05-08,172.1457977294922,107.64645385742188,305.0364074707031
2023-05-09,170.4293212890625,107.22693634033203,303.40576171875
2023-05-10,172.20535278320312,111.62189483642578,308.6535949707031
2023-05-11,172.3938446044922,116.43636322021484,306.4793395996094
